club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Ipswich Town,Claus Thomsen,24,Centre-Back,Aarhus GF,€350Th.,Transfer,in,Summer,0.35,1994,1994/1995
Ipswich Town,Mauricio Taricco,21,Left-Back,Argentinos Jrs.,€245Th.,Transfer,in,Summer,0.245,1994,1994/1995
Ipswich Town,Adrián Paz,25,midfield,Estudiantes,?,Transfer,in,Summer,NA,1994,1994/1995
Ipswich Town,Kevin Ellis,17,defence,Ipswich U18,-,Transfer,in,Summer,NA,1994,1994/1995
Ipswich Town,Tony Vaughan,18,Left-Back,Ipswich U18,-,Transfer,in,Summer,NA,1994,1994/1995
Ipswich Town,Lee Norfolk,18,Central Midfield,Ipswich U18,-,Transfer,in,Summer,NA,1994,1994/1995
Ipswich Town,James Scowcroft,18,Centre-Forward,Ipswich U18,-,Transfer,in,Summer,NA,1994,1994/1995
Ipswich Town,Neil Gregory,22,Centre-Forward,Scunthorpe Utd.,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Ipswich Town,David Gregory,25,midfield,Hereford Utd.,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Ipswich Town,Paul Goddard,34,Centre-Forward,Retired,-,Transfer,out,Summer,NA,1994,1994/1995
Norwich City,Jon Newsome,23,Right-Back,Leeds,€1.50m,Transfer,in,Summer,1.5,1994,1994/1995
Norwich City,Mike Sheron,22,Centre-Forward,Man City,€1.38m,Transfer,in,Summer,1.38,1994,1994/1995
Norwich City,Carl Bradshaw,25,Right-Back,Sheff Utd,€580Th.,Transfer,in,Summer,0.58,1994,1994/1995
Norwich City,Mike Milligan,27,midfield,Oldham Athletic,?,Transfer,in,Summer,NA,1994,1994/1995
Norwich City,Keith O'Neill,18,Left Winger,Home Farm,?,Transfer,in,Summer,NA,1994,1994/1995
Norwich City,Danny Mills,17,Right-Back,Norwich U18,-,Transfer,in,Summer,NA,1994,1994/1995
Norwich City,Jamie Cureton,18,Centre-Forward,Norwich U18,-,Transfer,in,Summer,NA,1994,1994/1995
Norwich City,Ali Gibb,18,Right Midfield,Norwich U18,-,Transfer,in,Summer,NA,1994,1994/1995
Norwich City,Chris Sutton,21,Centre-Forward,Blackburn,€7.50m,Transfer,out,Summer,7.5,1994,1994/1995
Norwich City,Efan Ekoku,27,Centre-Forward,Wimbledon FC,€750Th.,Transfer,out,Summer,0.75,1994,1994/1995
Norwich City,Colin Woodthorpe,25,Left-Back,Aberdeen FC,€600Th.,Transfer,out,Summer,0.6,1994,1994/1995
Norwich City,Ian Butterworth,30,Centre-Back,King's Lynn,free transfer,Transfer,out,Summer,0,1994,1994/1995
Norwich City,Scott Howie,22,Goalkeeper,Motherwell FC,?,Transfer,out,Summer,NA,1994,1994/1995
Norwich City,David Smith,23,midfield,Oxford United,?,Transfer,out,Summer,NA,1994,1994/1995
Norwich City,Simon Tracey,27,Goalkeeper,Sheff Utd,"End of loanMay 31, 1995",Loan,out,Summer,NA,1994,1994/1995
Queens Park Rangers,Steve Hodge,31,Central Midfield,Leeds,€360Th.,Transfer,in,Summer,0.36,1994,1994/1995
Queens Park Rangers,Sieb Dijkstra,27,Goalkeeper,Motherwell FC,?,Transfer,in,Summer,NA,1994,1994/1995
Queens Park Rangers,Matt Brazier,17,midfield,QPR U18,-,Transfer,in,Summer,NA,1994,1994/1995
Queens Park Rangers,Trevor Challis,18,defence,QPR U18,-,Transfer,in,Summer,NA,1994,1994/1995
Queens Park Rangers,Chris Plummer,17,Centre-Back,QPR U18,-,Transfer,in,Summer,NA,1994,1994/1995
Queens Park Rangers,Dennis Bailey,29,attack,Brentford,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Queens Park Rangers,Marvin Bryan,19,midfield,Doncaster,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Queens Park Rangers,Darren Peacock,26,Centre-Back,Newcastle,€5.00m,Transfer,out,Summer,5,1994,1994/1995
Queens Park Rangers,Dougie Freedman,20,Centre-Forward,Barnet,free transfer,Transfer,out,Summer,0,1994,1994/1995
Queens Park Rangers,Steve Gallen,20,midfield,Doncaster,free transfer,Transfer,out,Summer,0,1994,1994/1995
Queens Park Rangers,Ray Wilkins,37,Central Midfield,Crystal Palace,?,Transfer,out,Summer,NA,1994,1994/1995
Queens Park Rangers,Jan Stejskal,32,Goalkeeper,Slavia Prague,?,Transfer,out,Summer,NA,1994,1994/1995
Queens Park Rangers,Maurice Doyle,25,midfield,Millwall,?,Transfer,out,Summer,NA,1994,1994/1995
Queens Park Rangers,Darren Finlay,20,midfield,Doncaster,?,Transfer,out,Summer,NA,1994,1994/1995
Sheffield Wednesday,Ian Nolan,24,Left-Back,Tranmere Rovers,€2.25m,Transfer,in,Summer,2.25,1994,1994/1995
Sheffield Wednesday,Peter Atherton,24,Right-Back,Coventry,€1.15m,Transfer,in,Summer,1.15,1994,1994/1995
Sheffield Wednesday,Klas Ingesson,25,Defensive Midfield,PSV Eindhoven,?,Transfer,in,Summer,NA,1994,1994/1995
Sheffield Wednesday,Ian Taylor,26,Defensive Midfield,Port Vale,?,Transfer,in,Summer,NA,1994,1994/1995
Sheffield Wednesday,Dan Petrescu,26,Right-Back,Genoa,?,Transfer,in,Summer,NA,1994,1994/1995
Sheffield Wednesday,Lee Briscoe,18,Left-Back,Sheff Wed U18,-,Transfer,in,Summer,NA,1994,1994/1995
