club_name,club_key
AFC Bournemouth,afc bournemouth
Arsenal FC,arsenal fc
Aston Villa,aston villa
Barnsley FC,barnsley fc
Birmingham City,birmingham city
Blackburn Rovers,blackburn rovers
Blackpool FC,blackpool fc
Bolton Wanderers,bolton wanderers
Bradford City,bradford city
Brentford FC,brentford fc
Brighton & Hove Albion,brighton hove albion
Burnley FC,burnley fc
Cardiff City,cardiff city
Charlton Athletic,charlton athletic
Chelsea FC,chelsea fc
Coventry City,coventry city
Crystal Palace,crystal palace
Derby County,derby county
Everton FC,everton fc
Fulham FC,fulham fc
Huddersfield Town,huddersfield town
Hull City,hull city
Ipswich Town,ipswich town
Leeds United,leeds united
Leicester City,leicester city
Liverpool FC,liverpool fc
Manchester City,manchester city
Manchester United,manchester united
Middlesbrough FC,middlesbrough fc
Newcastle United,newcastle united
Norwich City,norwich city
Nottingham Forest,nottingham forest
Oldham Athletic,oldham athletic
Portsmouth FC,portsmouth fc
Queens Park Rangers,queens park rangers
Reading FC,reading fc
Sheffield United,sheffield united
Sheffield Wednesday,sheffield wednesday
Southampton FC,southampton fc
Stoke City,stoke city
Sunderland AFC,sunderland afc
Swansea City,swansea city
Swindon Town,swindon town
Tottenham Hotspur,tottenham hotspur
Watford FC,watford fc
West Bromwich Albion,west bromwich albion
West Ham United,west ham united
Wigan Athletic,wigan athletic
Wimbledon FC,wimbledon fc
Wolverhampton Wanderers,wolverhampton wanderers
